id,createdAt,updatedAt,primary,secondary,teamId
29,2021-01-26 04:05:11.968,2021-01-26 04:05:08.826,#002D62,#FDBB30,12
30,2021-01-26 04:05:12.421,2021-01-26 04:05:08.819,#0C2340,#236192,18
32,2021-01-26 04:32:32.495,2021-01-26 04:32:32.492,#CE1141,#000000,5
33,2021-01-26 04:38:17.75,2021-01-26 04:38:17.747,#CE1141,#000000,28
1,2021-01-26 04:05:08.844,2021-01-26 04:05:08.819,# 002B5C,#E31837,30
2,2021-01-26 04:05:09.289,2021-01-26 04:05:08.82,#C4CED4,#000000,27
3,2021-01-26 04:05:09.731,2021-01-26 04:05:08.82,#5A2D81,#63727A,26
4,2021-01-26 04:05:09.731,2021-01-26 04:05:08.82,#002B5C,#F9A01B,29
5,2021-01-26 04:05:10.175,2021-01-26 04:05:08.821,#98002E,#000000,16
6,2021-01-26 04:05:10.175,2021-01-26 04:05:08.821,#E03A3E,#000000,25
7,2021-01-26 04:05:10.175,2021-01-26 04:05:08.821,#1D1160,#E56020,24
8,2021-01-26 04:05:10.631,2021-01-26 04:05:08.822,#5D76A9,#12173F,15
10,2021-01-26 04:05:10.631,2021-01-26 04:05:08.823,#00471B,#EEE1C6,17
9,2021-01-26 04:05:10.631,2021-01-26 04:05:08.822,#007AC1,#EF3B24,21
11,2021-01-26 04:05:10.631,2021-01-26 04:05:08.822,#006BB6,#D50032,23
15,2021-01-26 04:05:11.081,2021-01-26 04:05:08.823,#006BB6,#F58426,20
13,2021-01-26 04:05:11.081,2021-01-26 04:05:08.823,#0C2340,#C8102E,19
12,2021-01-26 04:05:11.081,2021-01-26 04:05:08.824,#C8102E,#1D428A,13
14,2021-01-26 04:05:11.081,2021-01-26 04:05:08.824,#552583,#FDB927,14
16,2021-01-26 04:05:11.081,2021-01-26 04:05:08.823,#0077C0,#C4CED4,22
18,2021-01-26 04:05:11.521,2021-01-26 04:05:08.825,#1D428A,#FFC72C,10
19,2021-01-26 04:05:11.521,2021-01-26 04:05:08.825,#0E2240,#FEC524,8
21,2021-01-26 04:05:11.521,2021-01-26 04:05:08.826,#C8102E,#1D42BA,9
17,2021-01-26 04:05:11.521,2021-01-26 04:05:08.825,#CE1141,#000000,11
22,2021-01-26 04:05:11.521,2021-01-26 04:05:08.824,#00538C,#B8C4CA,7
28,2021-01-26 04:05:11.968,2021-01-26 04:05:08.827,#000000,#FFFFFF,3
26,2021-01-26 04:05:11.968,2021-01-26 04:05:08.828,#E03A3E,#C1D32F,1
24,2021-01-26 04:05:11.968,2021-01-26 04:05:08.827,#007A33,#BA9653,2
23,2021-01-26 04:05:11.968,2021-01-26 04:05:08.827,#860038,#041E42,6
25,2021-01-26 04:05:11.968,2021-01-26 04:05:08.826,#1D1160,#00788C,4
